"","keyword","importance","notes","synonyms"
"1","climate","high","","climatic"
"2","energy","high","",""
"3","solar","intermediate","",""
"4","wind","intermediate","can be used in other topics such as weather, important as a key word of renewable energy",""
"5","greenhouse","high","",""
"6","emission","intermediate","","emissions"
"7","sustainab","high","","sustainable"
"8","warming","high","","heating"
"9","ecosystem","intermediate","",""
"10","forest","high","can be used in other topics","rainforests"
"11","environment","high","","environment environmental"
"12","natur","high","probably used in other topics such as literature","natural nature"
"13","biodiversity","intermediate","",""
"14","carbon","high","","CO2 CO"
"15","net zero","high","",""
"16","renewable","intermediate","","recovery"
"17","decarbonization","low","",""
"18","fossil","high","","fossil, fuel, gas, coal, heater"
"19","fuel","","",""
"20","gas","","",""
"21","coal","","",""
"22","heater","","",""
"23","greenwashing","high","",""
"24","sea","","",""
"25","oceans","high","","seas"
"26","species","high","whales, dolphins, turtles",""
"27","clean","high","",""
"28","earth","high","",""
"29","flood","intermediate","",""
"30","storms","intermediate","",""
"31","planet","high","",""
"32","weather","intermediate","",""
"33","waste","intermediate","",""
"34","pollut","high","","polluters"
"35","soil","intermediate","",""
"36","plants","intermediate","",""
"37","resilien","intermediate","","resilience"
"38","wild","intermediate","","wildlife"
"39","global","intermediate","",""
"40","habitats","intermediate","",""
"41","reduc","intermediate","","reduce,reduction"
"42","conversation","high","",""
"43","green","high","",""
"44","Paris","high","","ParisAgreement"
"45","temperature","low","","warmer, colder, hotter,hottest"
"46","warmer","","",""
"47","hotter","","",""
"48","burning","intermediate","",""
"49","electric","intermediate","",""
"50","health","intermediate","",""
"51","rain","","",""
"52","precipitation","intermediate","","rain"
"53","recovery","low","",""
"54","turbine","intermediate","wind turbine",""
"55","atmosphere","intermediate","",""
"56","glacier","intermediate","","glacial,ice"
"57","glacial","","",""
"58","ice","","",""
"59","winter","intermediate","",""
"60","renewable","high","",""
"61","Arctic","low","",""
"62","vegan","intermediate","","meat,beef"
"63","meat","","",""
"64","beef","","",""
"65","coral","low","",""
